,Sentence,Phrase,Episode,Target,Speaker,Vocative Relation,Other Relation,In-sentence Characters
150,"BRONN: Lesson number one, assume everyone wants to hit you. ‘Cause they do, Pod. Everyone wants to hit a fucking squire. Do it again. Come on, don’t sulk.",Phrase,s6ep8,None,None,None,None,None
151,MELISANDRE:I've done my part.I've brought ice and fire together.,Phrase,s7ep3,None,None,None,None,None
152,BRONN: You learned to fight like a good little boy. I'll bet that thrust through the MadKing's back was pretty as a picture. You want to fight pretty or you want to win?,Phrase,s4ep4,None,None,None,None,None
153,TYCHO:I see a great deal of potential in that venture.I imagine that it would require outside investment?,Phrase,s7ep4,None,None,None,None,None
154,JON: At what?,Phrase,s7ep1,None,None,None,None,None
155,JOFFREY DWARF: Charge!,Phrase,s4ep2,None,None,None,None,None
156,TYRION: No.,Phrase,s7ep7,None,None,None,None,None
157,ARYA:I guess we'll never know.,Phrase,s7ep6,None,None,None,None,None
158,"RENLY: You are all your father promised and more, my lady. I've seen Ser Loras bested once or twice, but never quite in that fashion.",Phrase,s2ep3,None,None,None,None,None
159,WALDER: Didn’t think so. Too pretty.,Phrase,s6ep10,None,None,None,None,None
160,"ROBETT: I served House Stark once, but House Stark is dead.",Phrase,s6ep7,None,None,None,None,None
161,ARYA:Of people I'm going to kill.,Phrase,s7ep4,None,None,None,None,None
162,CERSEI:That's a fancy way of saying bet.The war has already begun.I've drawn first blood.I decapitated the Dornish snake.My armada owns the Narrow Sea.,Phrase,s7ep3,None,None,None,None,None
163,OLENNA: What then?,Phrase,s5ep7,None,None,None,None,None
164,"HOT PIE: Probably in the piecrust by now. In the oven. The nice, warm oven.",Phrase,s2ep8,None,None,None,None,None
165,SANDOR:Don't point your fucking finger at me.,Phrase,s7ep6,None,None,None,None,None
166,"JON: Don't think too much, Bran.",Phrase,s3ep2,None,None,None,None,None
167,RAMSAY: Keep quiet.,Phrase,s3ep3,None,None,None,None,None
168,"Meryn Trant:Arya Stark, come with us.",Phrase,s1ep8,None,None,None,None,None
169,MARGAERY: What?,Phrase,s5ep6,None,None,None,None,None
170,SANSA: Help me.,Phrase,s5ep7,None,None,None,None,None
171,Catelyn Stark: And to you.,Phrase,s1ep4,None,None,None,None,None
172,BOWEN MARSH: You shouldn’t be alive. It’s not right.,Phrase,s6ep3,None,None,None,None,None
173,SANSA: Because you're too smart to trust a drunk.,Phrase,s4ep4,None,None,None,None,None
174,QHORIN: We are the watchers on the Wall.,Phrase,s2ep10,None,None,None,None,None
175,"MELISANDRE: It will all be over soon, Princess.",Phrase,s5ep9,None,None,None,None,None
176,JON: Lady Stark thought it might insult the royal family to seat a bastard in their midst.,Phrase,s1ep1,None,None,None,None,None
177,GILLY: Did you tell them how far north?,Phrase,s6ep6,None,None,None,None,None
178,MAN #3: My wife's just had our first baby.,Phrase,s7ep1,None,None,None,None,None
179,RENLY: No. The men holding those bolts of cloth will make me king.,Phrase,s2ep4,None,None,None,None,None
180,TALISA: That boy did?,Phrase,s2ep4,None,None,None,None,None
181,Lysa Arryn: What do you think you’re doing?,Phrase,s1ep6,None,None,None,None,None
182,JAIME:Advice?,Phrase,s7ep3,None,None,None,None,None
183,HOUND: What in seven hells are you doing with the Stark bitch?,Phrase,s3ep2,None,None,None,None,None
184,"MACE: With winter coming, half what they ask. Less.",Phrase,s5ep4,None,None,None,None,None
185,"BRONN: You want Shae, keep her. Wed one and bed the other. All you have to do is get a son in the Stark girl. He'll be Lord of Winterfell one day. You can rule the North in his name. You'll have two women and a whole kingdom of your own.",Phrase,s3ep7,None,None,None,None,None
186,"NED: No, I’m not a dream. I’m here. Right here.",Phrase,s6ep10,None,None,None,None,None
187,"BRONN: No. Oh, he hated the little twat, sure. But who didn't? And poison's not his style. Or murder, for that matter. You want to know for sure, why don't you ask him?",Phrase,s4ep4,None,None,None,None,None
188,ARYA: He's taking his army to attack my brother. I need him dead right now.,Phrase,s2ep8,None,None,None,None,None
189,SANSA: And what do you want?,Phrase,s4ep4,None,None,None,None,None
190,CERSEI: Varys's little birds?,Phrase,s6ep3,None,None,None,None,None
191,ROBETT: There’s nothing else to say.,Phrase,s6ep7,None,None,None,None,None
192,"TYRION: Your visits are too few, cousin.",Phrase,s2ep4,None,None,None,None,None
193,"CERSEI: Forgive me Lord Baelish, you have a reputation as a money lender and brothel keeper, not a military man.",Phrase,s5ep6,None,None,None,None,None
194,JAIME: Go and see your mother and ask her to forgive you.,Phrase,s6ep2,None,None,None,None,None
195,"SAM: I wanted to ask you something. To ask something of you. Send me, Gilly, and the baby to Oldtown so I can become a Maester. That’s what I’m meant to be, not this.",Phrase,s5ep10,None,None,None,None,None
196,"TYRION: I can't. I do belong here. These bad people are what I'm good at. Outtalking them, outthinking them. It's what I am. And I like it. I like it more than anything I've ever done. Are you going to leave?",Phrase,s2ep10,None,None,None,None,None
197,JORAH:He was in the right of course.It didn't make me hate him any less.,Phrase,s7ep6,None,None,None,None,None
198,SANSA: Don't ruin the game.,Phrase,s3ep1,None,None,None,None,None
199,"MARGAERY: Your enemies aren't happy about us. They want to tear us apart. And the best way to stop them is to put your baby in my belly. We can try again later. You decide how you want to do it, with me, with me and Loras, however else you like. Whatever you need to do. You are a king.",Phrase,s2ep3,None,None,None,None,None
