,Sentence,Phrase,Episode,Target,Speaker,Vocative Relation,Other Relation,In-sentence Characters
0,CATELYN: He’d have to leave home. He’d have to leave me. And so would you.,Phrase,s1ep1,Sansa,Catelyn,None,None,None
3,Hot Pie:l knocked him down and l kicked him in the balls and l kept kicking him until he was dead. l kicked him all to pieces. You better give me that sword!,Phrase,s1ep10,Arya Stark,Hot Pie,None,None,None
5,Daenerys Targaryen:You knew what l was buying and you knew the price.,Phrase,s1ep10,Mirri Maz Duur,Daenerys Targaryen,None,None,None
27,"Grenn:""l am the sword in the darkness – """,Phrase,s1ep10,Jon Snow,Grenn,None,None,None
32,"Jaime Lannister: My dear brother, there are times you make me wonder whose side you're on.",Phrase,s1ep2,Tyrion Lannister,Jaime Lannister,None,Tyrion Lannister brother_of Jaime Lannister,None
15,Eddard Stark: Go on. We'll talk more later.,Phrase,s1ep5,Arya Stark,Eddard Stark,None,None,None
38,Loras Tyrell: But a lot more than you.,Phrase,s1ep5,Renly Baratheon,Loras Tyrell,None,None,None
25,Daenerys Targaryen:(in Dothraki) Bring her to me unharmed or Khal Drogo will hear why you denied me.,Phrase,s1ep9,Qotho,Daenerys Targaryen,None,None,Khal Drogo
29,BRAN: Don't have any pain.,Phrase,s2ep1,OSHA,bran,None,None,None
30,ANNOUNCER: Ser Dontos the Red of House Hollard.,Phrase,s2ep1,everyone,ANNOUNCER,None,None,None
20,"ARYA: Stupider. Night's Watch doesn't take girls, everyone knows that.",Phrase,s2ep2,GENDRY,ARYA,None,None,None
11,BRONN: To do what?,Phrase,s2ep5,HAYLENE,Bronn,None,None,None
17,QHORIN: Our boy here's already killed one dead man. He can do it again if he has to. What waits beyond the pass?,Phrase,s2ep6,YGRITTE,Qhorin,None,None,None
47,YGRITTE: You ought to burn them you killed.,Phrase,s2ep6,Jon Snow,YGRITTE,None,None,None
41,LOCKE: You sure he's the one?,Phrase,s3ep2,MAN,LOCKE,None,None,None
33,JOJEN:Or things that happened long before you were born or things that are happening right now thousands of miles away.,Phrase,s3ep2,BRAN,Jojen,None,None,None
37,MISSANDEI: (speaks Valyrian),Phrase,s3ep4,None,MISSANDEI,None,None,None
34,GILLY: I don't want your stupid thimble. I want to save my baby's life. Can you do that? Can you?,Phrase,s3ep4,SAM,Gilly,None,None,None
24,MISSANDEI: It is done.,Phrase,s3ep4,DAENERYS,MISSANDEI,None,None,None
46,YGRITTE: Hmm.,Phrase,s3ep5,JON,YGRITTE,None,None,None
2,"SELYSE: Lord, cast your light upon me. Protect me in the darkness. Burn away my sins. Help me serve you. Use me as you will. For the night is dark and full of terrors.",Phrase,s3ep5,None,SELYSE,None,None,None
19,CERSEI: The Tyrells were plotting to undermine our family. I did what I did to protect our family.,Phrase,s3ep6,TYRION,cersei,None,None,None
14,"JAIME: It would be, if you honestly believed my father would never find out about it.",Phrase,s3ep6,ROOSE BOLTON,Jaime,None,None,None
45,RICKON: What’s That?,Phrase,s3ep9,everyone,rickon,None,None,None
28,ARYA: Don't! Don't kill him.,Phrase,s3ep9,THE HOUND,ARYA,None,None,None
1,BRIENNE: My father.,Phrase,s4ep10,arya,BRIENNE,None,None,None
26,TYRION: Shae.,Phrase,s4ep10,TYWIN,TYRION,None,None,None
6,GILLY: My father hated that word.,Phrase,s4ep3,SAM,gilly,None,None,None
39,SANSA: I just do.,Phrase,s4ep4,LITTLEFINGER,Sansa,None,None,None
42,VARYS: 10 silver stags seems a generous bounty.,Phrase,s4ep6,TYWIN,VARYS,None,None,None
31,VARYS: People I trust.,Phrase,s4ep6,OBERYN,VARYS,None,None,None
7,"JON: Come on, Ghost.",Phrase,s4ep7,Ghost,jon,None,None,None
9,VARYS: You already drank yourself across the Narrow Sea.,Phrase,s5ep1,TYRION,VARYS,None,None,None
44,HIGH SPARROW: Because I gave them away to someone who needed them more. We all do that. It stops us from forgetting what we really are.,Phrase,s5ep3,CERSEI,HIGH SPARROW,None,None,None
21,SLAVER: What about the dwarf?,Phrase,s5ep6,MALKO,SLAVER,None,None,None
35,"SANSA: Lord Tyrion was kind, he was gentle, he never touched me.",Phrase,s5ep6,RAMSAY,sansa,None,None,Tyrion
4,JORAH: What do you know about my father?,Phrase,s5ep6,TYRION,jorah,None,None,None
10,OLENNA: What is it you want? Gold? I’ll make you the richest septon who ever lived.,Phrase,s5ep7,SPARROW,OLENNA,None,None,None
49,DORAN: I always envied Oberyn. He lived. He truly lived. Sailed around the world. Fought men from every country. Lay with the most beautiful women alive.,Phrase,s6ep1,ELLARIA,doran,None,None,Oberyn
8,CAMELLO: I’m starting to think you can’t be trusted.,Phrase,s6ep5,BOBONO,camello,None,None,None
40,"GILLY: Yes, of course.",Phrase,s6ep6,MELESSA,gilly,None,None,None
36,"HIGH SPARROW: You learn quickly. There are some who know every verse of the sacred text, but don’t have a drop of the Mother’s mercy in their blood and savages who can’t read at all who understand the Father’s wisdom.",Phrase,s6ep7,MARGAERY,HIGH SPARROW,None,None,None
13,DAVOS: We should all get some sleep.,Phrase,s6ep9,everyone,davos,None,None,None
23,DAENERYS: Lord Tyrion tells me your father was a terrible king.,Phrase,s6ep9,YARA,DAENERYS,None,None,Tyrion
22,THEON: Our Uncle Euron returned home after a long absence. He murdered our father and took the Salt Throne from yara. He would have murdered us if we had stayed.,Phrase,s6ep9,DAENERYS,theon ,None,None,"Euron,yara"
12,"RAZDAL (to DAENERYS): Once before, I offered you peace. If you had not been so arrogant, you could have returned to your homeland with a fleet of ships. Instead, you will flee Slaver’s Bay on foot like the beggar queen you are.",Phrase,s6ep9,DAENERYS,RAZDAL,None,None,None
48,"GILLY: ""Legends of the Long Night.""",Phrase,s7ep1,None,gilly,None,None,None
43,"OLENNA:He's a clever man, your Hand.I've known a great many clever men.I've outlived them all.Do you know why?I ignored them.The lords of Westeros are sheep.Are you a sheep?No.You're a dragon.Be a dragon.",Phrase,s7ep2,DAENERYS,olenna,None,None,None
16,JON:But?,Phrase,s7ep2,DAVOS,jon,None,None,None
18,DAENERYS: Yes. That's all.,Phrase,s7ep7,CERSEI,DAENERYS,None,None,None
