,Sentence,Phrase,Episode,Target,Speaker,Vocative Relation,Other Relation,In-sentence Characters
100,"BAELISH: My sources are well placed. They tell me Roose Bolton plans to marry her to his son, Ramsay, a bastard recently legitimized by King Tommen.",Phrase,s5ep6,None,None,None,None,None
101,"JAQEN: To be a dancing master is a special thing, but to be a faceless man, that is something else entirely. The girl has many names on her lips. Joffrey, Cersei, Tywin Lannister, llyn Payne, the Hound. Names to offer up to the Red God. She could offer them all one by one.",Phrase,s2ep10,None,None,None,None,None
102,HIGH SPARROW: Will you fight to defend your faith against heretics and apostates?,Phrase,s6ep10,None,None,None,None,None
103,"SAM: It doesn't get so cold down in the Reach. And there were servants, of course.",Phrase,s3ep6,None,None,None,None,None
104,Qotho:Too many words. A witch's words poison the ears.,Phrase,s1ep8,None,None,None,None,None
105,PETYR: You were a child.,Phrase,s6ep10,None,None,None,None,None
106,DORAN: You have not had to use that axe of yours in a very long time. I hope you remember how.,Phrase,s5ep6,None,None,None,None,None
107,Walder Frey:Why should l let him?,Phrase,s1ep9,None,None,None,None,None
108,"TYRION: You disappoint me, Grand Maester.",Phrase,s2ep3,None,None,None,None,None
109,TYRION: I am more sorry about the children than you could ever know.,Phrase,s7ep7,None,None,None,None,None
110,"HIZDAHR: Your Grace, I cannot defend the actions of the masters. I can only speak to you as a son who loved his father. Let me take his body down. Let me have him brought to the temple and buried with dignity so that he might find peace in the next world.",Phrase,s4ep6,None,None,None,None,None
111,TYRION: Beloved nephew.,Phrase,s2ep1,None,None,None,None,None
112,"ARYA: But you've seen things, horrible things.",Phrase,s2ep3,None,None,None,None,None
113,CERSEI: Symptoms that are not your concern.,Phrase,s4ep1,None,None,None,None,None
114,"DAVOS: That’s not his way. He knows the North is watching. If the other houses sense weakness on his part, they’ll stop fearing him. He can’t have that. Fear is his power.",Phrase,s6ep9,None,None,None,None,None
115,"SHAE: You make me wait a long time, but your friend keeps me company.",Phrase,s2ep2,None,None,None,None,None
116,SAM: Not so far. A few more days.,Phrase,s3ep6,None,None,None,None,None
117,TYRION: Your Grace does me a great honor.,Phrase,s4ep2,None,None,None,None,None
118,KARL:And how you gonna do that?,Phrase,s4ep5,None,None,None,None,None
119,"DAVOS: Unless there’s a thaw, we can’t press forward to Winterfell, and we don’t have enough food to get us back to Castle Black.",Phrase,s5ep9,None,None,None,None,None
120,DAENERYS: The Spice King refuses me because I'm a bad investment. The Silk King won't support me because of his business with the Lannisters. Why offend his best customer? And the Copper King offers me a single ship on the condition that I lie with him for a night. Does he think I will whore myself for a boat?,Phrase,s2ep6,None,None,None,None,None
121,"LADY CRANE: I remember when the players came to my village. I didn’t have any money, so I snuck in. Just like you. Saw the painted faces, the costumes, listened to the songs, cried when the young lovers died in each other’s arms. I ran off and joined them the next day, never looked back.",Phrase,s6ep6,None,None,None,None,None
122,DAVOS:You might want to bring one of those swords.,Phrase,s7ep5,None,None,None,None,None
123,Wine Merchant:Princess.,Phrase,s1ep7,None,None,None,None,None
124,YARA: Our god is a sea god.,Phrase,s6ep5,None,None,None,None,None
125,BRAN: We couldn't risk going to the kitchens.,Phrase,s2ep7,None,None,None,None,None
126,JAIME:There's still time.,Phrase,s4ep1,None,None,None,None,None
127,OLENNA (with contempt): I’ve read the seven pointed star.,Phrase,s5ep7,None,None,None,None,None
128,CERSEI: Cersei: It's your sister. The queen.,Phrase,s3ep1,None,None,None,None,None
129,SANDOR: It’s gonna be a cold night. We’ll need firewood.,Phrase,s6ep7,None,None,None,None,None
130,ROOSE BOLTON: Wars cost money. Many people would pay a great deal for you.,Phrase,s3ep6,None,None,None,None,None
131,HOUND: Stark deserters. Baratheon deserters. You lot aren't fighting in a war. You're running from it.,Phrase,s3ep4,None,None,None,None,None
132,"TYRION: Stannis knows King's Landing. He knows where the walls are strongest, and he knows which gates are weakest. The Mud Gate. A good ram will batter it down in minutes, and it's only 50 yards from the water. That's where he'll land.",Phrase,s2ep8,None,None,None,None,None
133,MANCE: This was my home for many years. I wish you good fortune in the wars to come.,Phrase,s5ep1,None,None,None,None,None
134,Rakharo: Slow.,Phrase,s1ep3,None,None,None,None,None
135,BRIENNE: Your Grace.,Phrase,s4ep2,None,None,None,None,None
136,THEON: You should be proud of your brother's achievement. I took the great castle of Winterfell with 20 men.,Phrase,s2ep8,None,None,None,None,None
137,JAIME: What is?,Phrase,s3ep7,None,None,None,None,None
138,JON: I can't.,Phrase,s5ep4,None,None,None,None,None
139,ROBB: That will be all.,Phrase,s2ep7,None,None,None,None,None
140,Samwell Tarly:But we're your brothers now.,Phrase,s1ep10,None,None,None,None,None
141,SAM: *to Olly* Get me to the top! You hear me?!,Phrase,s4ep9,None,None,None,None,None
142,"ELARIA: We don't need an army to start a war. (Drinks water). Queen Cersei loves her children, and we have one of them.",Phrase,s5ep4,None,None,None,None,None
143,BRONN: Can't imagine why.,Phrase,s2ep1,None,None,None,None,None
144,"Jorah Mormont: We're still not far from Pentos, your Grace. Magister Illyrio has extended his hospitality. You'd be more comfortable there.",Phrase,s1ep2,None,None,None,None,None
145,"ARYA: Her father was Eddard Stark. Her mother was Catelyn Stark. She had one sister, Sansa, and four brothers.",Phrase,s6ep3,None,None,None,None,None
146,Sansa Stark: The Mad King.,Phrase,s1ep4,None,None,None,None,None
147,OLENNA: Well I think that’s quite enough of that.,Phrase,s5ep6,None,None,None,None,None
148,"TYRION: We can't. Now that the Lannisters have discarded her, Sansa will have many suitors. A great beauty with a very old name.",Phrase,s3ep2,None,None,None,None,None
149,"CERSEI: A lie. A lie from the lips of Stannis Baratheon. He wants the Throne, but his brother’s children stand in his way, so he claims they are not his brothers’. The filth. There is not one shred of truth to it. I deny it.",Phrase,s5ep10,None,None,None,None,None
