,Sentence,Subject,Relation,Object
0,"One more thing. My brother was named to the small council before his death. Your father understood the importance of keeping Dorne in the loop. With Oberyn gone, Trystane will take his place on the small council. Doran said to Jaime Lannister.",My brother,was,named to council before his death
1,"One more thing. My brother was named to the small council before his death. Your father understood the importance of keeping Dorne in the loop. With Oberyn gone, Trystane will take his place on the small council. Doran said to Jaime Lannister.",My brother,was named to,council
2,"One more thing. My brother was named to the small council before his death. Your father understood the importance of keeping Dorne in the loop. With Oberyn gone, Trystane will take his place on the small council. Doran said to Jaime Lannister.",My brother,was,named to small council before his death
3,"One more thing. My brother was named to the small council before his death. Your father understood the importance of keeping Dorne in the loop. With Oberyn gone, Trystane will take his place on the small council. Doran said to Jaime Lannister.",My brother,was named before,his death
4,"One more thing. My brother was named to the small council before his death. Your father understood the importance of keeping Dorne in the loop. With Oberyn gone, Trystane will take his place on the small council. Doran said to Jaime Lannister.",My brother,was named to,small council
5,"One more thing. My brother was named to the small council before his death. Your father understood the importance of keeping Dorne in the loop. With Oberyn gone, Trystane will take his place on the small council. Doran said to Jaime Lannister.",My brother,was,named
6,"One more thing. My brother was named to the small council before his death. Your father understood the importance of keeping Dorne in the loop. With Oberyn gone, Trystane will take his place on the small council. Doran said to Jaime Lannister.",Dorne,is in,loop
7,"One more thing. My brother was named to the small council before his death. Your father understood the importance of keeping Dorne in the loop. With Oberyn gone, Trystane will take his place on the small council. Doran said to Jaime Lannister.",Trystane,will take,his place
8,"One more thing. My brother was named to the small council before his death. Your father understood the importance of keeping Dorne in the loop. With Oberyn gone, Trystane will take his place on the small council. Doran said to Jaime Lannister.",Doran,said to,Jaime Lannister
9,I have learned the value of mercy from my father. I will set your man free. Trystane said to Jaime Lannister.,I,have learned value from,my father
10,I have learned the value of mercy from my father. I will set your man free. Trystane said to Jaime Lannister.,I,have learned,value of mercy
11,I have learned the value of mercy from my father. I will set your man free. Trystane said to Jaime Lannister.,I,have learned,value
12,I have learned the value of mercy from my father. I will set your man free. Trystane said to Jaime Lannister.,I,will set,your man
13,I have learned the value of mercy from my father. I will set your man free. Trystane said to Jaime Lannister.,I,will set free,your man
14,I have learned the value of mercy from my father. I will set your man free. Trystane said to Jaime Lannister.,Trystane,said to,Jaime Lannister
15,Father. Aren’t you cold? Shireen said to Stannis.,Shireen,said to,Stannis
16,"It’s alright, father. Shireen said to Stannis.",It,has,alright
17,"It’s alright, father. Shireen said to Stannis.",Shireen,said to,Stannis
18,Where’s my father? I want to see my father. Shireen said to Melisandre.,I,see,my father
19,Where’s my father? I want to see my father. Shireen said to Melisandre.,Shireen,said to,Melisandre
20,"Where’s my father? No you can’t do this, father where are you?! Shireen said to Melisandre.",Shireen,said to,Melisandre
21,"Let me see my father! Where are you, please?! Shireen said to Selyse.",me,see,my father
